2024-03-16 15:22:29,144 - [INFO]:  progress: 0%, start
2024-03-16 15:22:29,145 - [INFO]:  progress: 1%, start train
2024-03-16 15:22:29,350 - [INFO]:  select PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')
2024-03-16 15:24:27,413 - [INFO]:  train, labels:['LTR_H', 'LTR_S', 'LTR_U', 'N']
2024-03-16 15:24:27,414 - [DEBUG]:  train, datasets dir:/root/maix_train/out/datasets/images
2024-03-16 15:24:30,870 - [INFO]:  train data:21362, valid data:5339
2024-03-16 15:24:30,976 - [INFO]:  train start
2024-03-16 15:24:30,977 - [INFO]:  progress: 1.0%, train start
2024-03-16 15:24:31,033 - [INFO]:  epoch 0 start
2024-03-16 15:29:51,437 - [INFO]:  epoch 0 end: {'loss': 0.14803633093833923, 'accuracy': 0.9582806825637817, 'val_loss': 0.09614446759223938, 'val_accuracy': 0.9713214635848999}
2024-03-16 15:29:51,438 - [INFO]:  progress: 3.425%, train epoch end
2024-03-16 15:29:51,450 - [INFO]:  epoch 1 start
2024-03-16 15:34:58,351 - [INFO]:  epoch 1 end: {'loss': 0.08930761367082596, 'accuracy': 0.9726085066795349, 'val_loss': 0.07579334825277328, 'val_accuracy': 0.9782568216323853}
2024-03-16 15:34:58,352 - [INFO]:  progress: 5.85%, train epoch end
2024-03-16 15:34:58,365 - [INFO]:  epoch 2 start
2024-03-16 15:40:04,762 - [INFO]:  epoch 2 end: {'loss': 0.07686083763837814, 'accuracy': 0.9754179120063782, 'val_loss': 0.07726135849952698, 'val_accuracy': 0.9760075211524963}
2024-03-16 15:40:04,763 - [INFO]:  progress: 8.274999999999999%, train epoch end
2024-03-16 15:40:04,777 - [INFO]:  epoch 3 start
2024-03-16 15:45:11,243 - [INFO]:  epoch 3 end: {'loss': 0.07377228140830994, 'accuracy': 0.9761670827865601, 'val_loss': 0.0652758926153183, 'val_accuracy': 0.9795688986778259}
2024-03-16 15:45:11,243 - [INFO]:  progress: 10.7%, train epoch end
2024-03-16 15:45:11,256 - [INFO]:  epoch 4 start
2024-03-16 15:50:17,717 - [INFO]:  epoch 4 end: {'loss': 0.07039141654968262, 'accuracy': 0.9770566821098328, 'val_loss': 0.07858652621507645, 'val_accuracy': 0.9743205308914185}
2024-03-16 15:50:17,718 - [INFO]:  progress: 13.125%, train epoch end
2024-03-16 15:50:17,733 - [INFO]:  epoch 5 start
2024-03-16 15:55:23,339 - [INFO]:  epoch 5 end: {'loss': 0.06393833458423615, 'accuracy': 0.979866087436676, 'val_loss': 0.05915046110749245, 'val_accuracy': 0.980131208896637}
2024-03-16 15:55:23,339 - [INFO]:  progress: 15.549999999999999%, train epoch end
2024-03-16 15:55:23,353 - [INFO]:  epoch 6 start
2024-03-16 16:00:29,282 - [INFO]:  epoch 6 end: {'loss': 0.06336364150047302, 'accuracy': 0.979444682598114, 'val_loss': 0.07011434435844421, 'val_accuracy': 0.977319598197937}
2024-03-16 16:00:29,283 - [INFO]:  progress: 17.974999999999998%, train epoch end
2024-03-16 16:00:29,295 - [INFO]:  epoch 7 start
2024-03-16 16:05:33,400 - [INFO]:  epoch 7 end: {'loss': 0.061019159853458405, 'accuracy': 0.9805684089660645, 'val_loss': 0.06382504850625992, 'val_accuracy': 0.9791939854621887}
2024-03-16 16:05:33,401 - [INFO]:  progress: 20.4%, train epoch end
2024-03-16 16:05:33,413 - [INFO]:  epoch 8 start
2024-03-16 16:10:36,819 - [INFO]:  epoch 8 end: {'loss': 0.05936789512634277, 'accuracy': 0.9807088971138, 'val_loss': 0.06103773042559624, 'val_accuracy': 0.980131208896637}
2024-03-16 16:10:36,820 - [INFO]:  progress: 22.825%, train epoch end
2024-03-16 16:10:36,836 - [INFO]:  epoch 9 start
2024-03-16 16:15:42,239 - [INFO]:  epoch 9 end: {'loss': 0.05680927261710167, 'accuracy': 0.9812239408493042, 'val_loss': 0.05695157125592232, 'val_accuracy': 0.9816307425498962}
